feature,importance
pm2_5,157
aqi_ma_12h,139
temp_roll_24h,125
nitrogen_dioxide,124
pres,86
temp_roll_3h,85
pm25_ma_24h,66
carbon_monoxide,61
aqi_pm25,58
wspd,54
aqi,52
temp,48
pm25_lag_24h,48
temp_roll_6h,47
pm25_lag_12h,42
pm10,34
aqi_ma_24h,33
pm25_roll_12h,29
pm25_roll_3h,21
pm25_lag_6h,19
aqi_lag_24h,13
aqi_lag_1h,12
month_sin,8
pm25_lag_1h,7
pm25_ma_6h,4
aqi_ma_6h,1
pm25_lag_3h,0
pm25_roll_6h,0
pm25_roll_24h,0
month_cos,0
